City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,23.34,83,100,2.63,PF,1668135535
1,huntingdon,52.3305,-0.1865,15.52,79,99,3.58,GB,1668135535
2,jamestown,42.097,-79.2353,16.77,50,0,4.63,US,1668135145
3,bandraboua,-12.7044,45.1223,25.82,78,10,4.13,YT,1668135536
4,ulladulla,-35.35,150.4667,20.49,69,100,2.54,AU,1668135536
5,turtas,58.9417,69.1325,-2.03,97,100,1.39,RU,1668135537
6,albany,42.6001,-73.9662,11.92,81,49,1.01,US,1668135336
7,katobu,-4.9408,122.5276,33.2,52,42,0.16,ID,1668135537
8,ushuaia,-54.8,-68.3,6.81,70,20,3.6,AR,1668135538
9,nuuk,64.1835,-51.7216,-7.16,57,100,4.0,GL,1668135538
10,chunoyar,57.4467,97.3217,-2.33,93,100,3.75,RU,1668135539
11,mataura,-46.1927,168.8643,25.04,34,33,1.16,NZ,1668135539
12,akyab,20.15,92.9,25.7,67,52,1.83,MM,1668135540
13,chokurdakh,70.6333,147.9167,-26.35,99,100,2.83,RU,1668135540
14,provideniya,64.3833,-173.3,-3.94,63,75,6.0,RU,1668135540
15,luderitz,-26.6481,15.1594,12.97,86,0,5.11,NA,1668135541
16,bredasdorp,-34.5322,20.0403,14.46,89,3,3.86,ZA,1668135541
17,ribeira grande,38.5167,-28.7,13.76,89,70,2.24,PT,1668135363
18,atuona,-9.8,-139.0333,25.53,81,15,5.68,PF,1668135542
19,mahebourg,-20.4081,57.7,24.03,88,20,1.54,MU,1668135477
20,mahbubabad,17.6167,80.0167,23.15,63,79,2.15,IN,1668135543
21,port alfred,-33.5906,26.891,16.77,93,100,3.58,ZA,1668135543
22,sfantu gheorghe,45.8667,25.7833,8.48,94,100,0.62,RO,1668135544
23,punta arenas,-53.15,-70.9167,8.06,71,75,2.57,CL,1668135288
24,siavonga,-16.5382,28.7088,23.6,79,94,1.72,ZM,1668135544
25,cape town,-33.9258,18.4232,18.54,74,0,2.06,ZA,1668135429
26,faanui,-16.4833,-151.75,26.15,77,26,2.37,PF,1668135545
27,arraial do cabo,-22.9661,-42.0278,21.56,90,27,1.35,BR,1668135546
28,vaini,-21.2,-175.2,28.09,83,75,4.63,TO,1668135546
29,cherskiy,68.75,161.3,-19.81,99,100,1.82,RU,1668135547
30,hilo,19.7297,-155.09,25.69,77,8,2.24,US,1668135376
31,payakumbuh,-0.2202,100.6308,25.36,84,100,0.48,ID,1668135547
32,tabuk,17.4189,121.4443,29.49,68,48,2.09,PH,1668135548
33,kapaa,22.0752,-159.319,25.61,75,22,0.89,US,1668135367
34,hithadhoo,-0.6,73.0833,27.33,78,100,5.99,MV,1668135548
35,qaanaaq,77.484,-69.3632,-21.76,59,0,3.56,GL,1668135549
36,hirara,24.8,125.2833,27.92,89,75,4.63,JP,1668135549
37,vao,-22.6667,167.4833,22.68,74,91,5.56,NC,1668135550
38,notre-dame-du-lac,47.6136,-68.7964,8.26,94,100,1.36,CA,1668135551
39,adrar,20.5022,-10.0711,19.88,13,10,3.75,MR,1668135552
40,ancud,-41.8697,-73.8203,11.38,98,100,2.49,CL,1668135552
41,geraldton,-28.7667,114.6,19.23,63,75,9.26,AU,1668135553
42,port lincoln,-34.7333,135.8667,18.9,57,79,4.42,AU,1668135553
43,busselton,-33.65,115.3333,15.59,46,67,7.68,AU,1668135543
44,avera,33.194,-82.5271,20.73,97,100,9.24,US,1668135554
45,lorengau,-2.0226,147.2712,27.88,77,100,2.34,PG,1668135554
46,torbay,47.6666,-52.7314,5.98,78,75,7.2,CA,1668135555
47,kankon,15.0167,74.0167,25.89,57,98,2.9,IN,1668135555
48,hobart,-42.8794,147.3294,22.37,90,40,10.29,AU,1668135291
